program_id,program_name,department_code,department_name,section,fund_type,fiscal_year,amount,positions,ceiling,allocation_type,category,subcategory,notes,fund_category,amount_millions,is_capital,pct_of_total,pct_of_dept,dept_rank,overall_rank,cost_per_position
BED160,HAWAII HOUSING FINANCE AND DEVELOPMENT CORPORATION,BED,"Department of Business, Economic Development & Tourism",Operating,W,2027,15889058.0,23.0,,,Economic Development,,,Revolving Funds,15.889058,False,0.07,3.6,5,161,690829.0
BED160,HAWAII HOUSING FINANCE AND DEVELOPMENT CORPORATION,BED,"Department of Business, Economic Development & Tourism",Operating,P,2027,3000000.0,23.0,,,Economic Development,,,Other Federal Funds,3.0,False,0.01,0.68,23,357,130435.0
BED160,HAWAII HOUSING FINANCE AND DEVELOPMENT CORPORATION,BED,"Department of Business, Economic Development & Tourism",Capital Improvement,C,2027,140000000.0,23.0,,,Economic Development,,,General Obligation Bond Fund,140.0,True,0.64,31.73,1,31,6086957.0
BED170,AGRIBUSINESS DEVELOPMENT AND RESEARCH,BED,"Department of Business, Economic Development & Tourism",Operating,A,2027,4823166.0,13.5,,,Economic Development,,,General Funds,4.823166,False,0.02,1.09,14,295,357272.0
BED170,AGRIBUSINESS DEVELOPMENT AND RESEARCH,BED,"Department of Business, Economic Development & Tourism",Operating,U,2027,82126.0,0.5,,,Economic Development,,,Interdepartmental Transfers,0.082126,False,0.0,0.02,41,569,164252.0
BED170,AGRIBUSINESS DEVELOPMENT AND RESEARCH,BED,"Department of Business, Economic Development & Tourism",Operating,W,2027,4048264.0,2.0,,,Economic Development,,,Revolving Funds,4.048264,False,0.02,0.92,17,319,2024132.0
BED170,AGRIBUSINESS DEVELOPMENT AND RESEARCH,BED,"Department of Business, Economic Development & Tourism",Capital Improvement,C,2027,5150000.0,2.0,,,Economic Development,,,General Obligation Bond Fund,5.15,True,0.02,1.17,13,282,2575000.0
BED180,SPECTATOR EVENTS & SHOWS -ALOHA STADIUM,BED,"Department of Business, Economic Development & Tourism",Operating,B,2027,8772356.0,18.0,,,Culture and Recreation,,,Special Funds,8.772356,False,0.04,1.99,7,217,487353.0
BUF101,DEPARTMENTAL ADMINISTRATION AND BUDGET DIVISION,BUF,Department of Budget & Finance,Operating,A,2027,13504737.0,58.0,,,Government Operations,,,General Funds,13.504737,False,0.06,0.3,15,175,232840.0
BUF101,DEPARTMENTAL ADMINISTRATION AND BUDGET DIVISION,BUF,Department of Budget & Finance,Operating,B,2027,427305000.0,58.0,,,Government Operations,,,Special Funds,427.305,False,1.95,9.63,6,13,7367328.0
BUF103,VACATION PAYOUT - STATEWIDE,BUF,Department of Budget & Finance,Operating,A,2027,9700000.0,,,,Government Operations,,,General Funds,9.7,False,0.04,0.22,17,204,
BUF115,FINANCIAL ADMINISTRATION,BUF,Department of Budget & Finance,Operating,A,2027,2867681.0,18.0,,,Government Operations,,,General Funds,2.867681,False,0.01,0.06,19,362,159316.0
BUF115,FINANCIAL ADMINISTRATION,BUF,Department of Budget & Finance,Operating,T,2027,15957630.0,9.0,,,Government Operations,,,Trust Funds,15.95763,False,0.07,0.36,13,160,1773070.0
BUF141,EMPLOYEES’ RETIREMENT SYSTEM,BUF,Department of Budget & Finance,Operating,X,2027,25727960.0,117.0,,,Government Operations,,,Other Funds,25.72796,False,0.12,0.58,12,113,219897.0
BUF143,HAWAII EMPLOYER UNION TRUST FUND,BUF,Department of Budget & Finance,Operating,T,2027,11337016.0,63.0,,,Government Operations,,,Trust Funds,11.337016,False,0.05,0.26,16,188,179953.0
BUF151,OFFICE OF THE PUBLIC DEFENDER,BUF,Department of Budget & Finance,Operating,A,2027,15137691.0,133.5,,,Individual Rights,,,General Funds,15.137691,False,0.07,0.34,14,165,113391.0
BUF721,DEBT SERVICE PAYMENTS - STATE,BUF,Department of Budget & Finance,Operating,A,2027,605294407.0,,,,Government Operations,,,General Funds,605.294407,False,2.76,13.65,2,6,
BUF725,DEBT SERVICE PAYMENTS - DOE,BUF,Department of Budget & Finance,Operating,A,2027,521973994.0,,,,Education,,,General Funds,521.973994,False,2.38,11.77,5,11,
BUF728,DEBT SERVICE PAYMENTS - UH,BUF,Department of Budget & Finance,Operating,A,2027,193181876.0,,,,Education,,,General Funds,193.181876,False,0.88,4.36,8,25,
BUF741,RETIREMENT BENEFITS - STATE,BUF,Department of Budget & Finance,Operating,A,2027,522870219.0,,,,Government Operations,,,General Funds,522.870219,False,2.38,11.79,4,10,
BUF741,RETIREMENT BENEFITS - STATE,BUF,Department of Budget & Finance,Operating,U,2027,4000000.0,,,,Government Operations,,,Interdepartmental Transfers,4.0,False,0.02,0.09,18,322,
BUF745,RETIREMENT BENEFITS - DOE,BUF,Department of Budget & Finance,Operating,A,2027,572505610.0,,,,Education,,,General Funds,572.50561,False,2.61,12.91,3,8,
BUF748,RETIREMENT BENEFITS - UH,BUF,Department of Budget & Finance,Operating,A,2027,224317511.0,,,,Education,,,General Funds,224.317511,False,1.02,5.06,7,22,
BUF761,HEALTH PREMIUM PAYMENTS - STATE,BUF,Department of Budget & Finance,Operating,A,2027,161379104.0,,,,Government Operations,,,General Funds,161.379104,False,0.74,3.64,10,30,
BUF762,HEALTH PREMIUM PAYMENT FOR ANNUAL REQUIRED CONTRIBUTION (ARC).,BUF,Department of Budget & Finance,Operating,A,2027,846891000.0,,,,Government Operations,,,General Funds,846.891,False,3.86,19.09,1,4,
BUF765,HEALTH PREMIUM PAYMENTS - DOE,BUF,Department of Budget & Finance,Operating,A,2027,191510985.0,,,,Education,,,General Funds,191.510985,False,0.87,4.32,9,27,
BUF768,HEALTH PREMIUM PAYMENTS - UH,BUF,Department of Budget & Finance,Operating,A,2027,70035107.0,,,,Education,,,General Funds,70.035107,False,0.32,1.58,11,47,
CCA102,CABLE TELEVISION,CCA,Department of Commerce & Consumer Affairs,Operating,B,2027,2507752.0,6.0,,,Individual Rights,,,Special Funds,2.507752,False,0.01,2.36,11,379,417959.0
CCA103,"CONSUMER ADVOCATE FOR COMMUNICATION, UTILITIES, AND TRANSPORTATION SERVICES",CCA,Department of Commerce & Consumer Affairs,Operating,B,2027,4944320.0,25.0,,,Individual Rights,,,Special Funds,4.94432,False,0.02,4.66,8,290,197773.0
CCA104,FINANCIAL SERVICES REGULATION,CCA,Department of Commerce & Consumer Affairs,Operating,B,2027,6417109.0,43.0,,,Individual Rights,,,Special Funds,6.417109,False,0.03,6.05,7,257,149235.0
CCA104,FINANCIAL SERVICES REGULATION,CCA,Department of Commerce & Consumer Affairs,Operating,T,2027,301000.0,43.0,,,Individual Rights,,,Trust Funds,0.301,False,0.0,0.28,12,528,7000.0
CCA105,PROFESSIONAL AND VOCATIONAL LICENSING,CCA,Department of Commerce & Consumer Affairs,Operating,B,2027,9909730.0,72.0,,,Individual Rights,,,Special Funds,9.90973,False,0.05,9.34,5,203,137635.0
CCA105,PROFESSIONAL AND VOCATIONAL LICENSING,CCA,Department of Commerce & Consumer Affairs,Operating,T,2027,2880256.0,8.0,,,Individual Rights,,,Trust Funds,2.880256,False,0.01,2.71,10,361,360032.0
CCA106,INSURANCE REGULATORY SERVICES,CCA,Department of Commerce & Consumer Affairs,Operating,B,2027,22746784.0,95.0,,,Individual Rights,,,Special Funds,22.746784,False,0.1,21.44,1,127,239440.0
CCA106,INSURANCE REGULATORY SERVICES,CCA,Department of Commerce & Consumer Affairs,Operating,T,2027,201000.0,95.0,,,Individual Rights,,,Trust Funds,0.201,False,0.0,0.19,14,543,2116.0
CCA107,POST-SECONDARY EDUCATION AUTHORIZATION,CCA,Department of Commerce & Consumer Affairs,Operating,B,2027,249052.0,1.0,,,Individual Rights,,,Special Funds,0.249052,False,0.0,0.23,13,539,249052.0
CCA110,OFFICE OF CONSUMER PROTECTION,CCA,Department of Commerce & Consumer Affairs,Operating,B,2027,3833679.0,20.0,,,Individual Rights,,,Special Funds,3.833679,False,0.02,3.61,9,327,191684.0
CCA110,OFFICE OF CONSUMER PROTECTION,CCA,Department of Commerce & Consumer Affairs,Operating,T,2027,100681.0,20.0,,,Individual Rights,,,Trust Funds,0.100681,False,0.0,0.09,15,566,5034.0
CCA111,BUSINESS REGISTRATION AND SECURITIES REGULATION,CCA,Department of Commerce & Consumer Affairs,Operating,B,2027,10432895.0,77.0,,,Individual Rights,,,Special Funds,10.432895,False,0.05,9.83,4,197,135492.0
CCA112,REGULATED INDUSTRIES COMPLAINTS OFFICE,CCA,Department of Commerce & Consumer Affairs,Operating,B,2027,8930940.0,66.0,,,Individual Rights,,,Special Funds,8.93094,False,0.04,8.42,6,213,135317.0
CCA191,GENERAL SUPPORT,CCA,Department of Commerce & Consumer Affairs,Operating,B,2027,12858290.0,54.0,,,Individual Rights,,,Special Funds,12.85829,False,0.06,12.12,3,180,238116.0
CCA901,PUBLIC UTILITIES COMMISSION,CCA,Department of Commerce & Consumer Affairs,Operating,B,2027,19777291.0,69.0,,,Individual Rights,,,Special Funds,19.777291,False,0.09,18.64,2,139,286627.0
DEF110,AMELIORATION OF PHYSICAL DISASTERS,DEF,Department of Defense,Operating,A,2027,10256912.0,100.25,,,Public Safety,,,General Funds,10.256912,False,0.05,9.06,4,199,102313.0
