program_id,program_name,department_code,department_name,section,fund_type,fiscal_year,amount,positions,positions_temp,ceiling,allocation_type,category,subcategory,notes,fund_category,amount_millions,is_capital,pct_of_total,pct_of_dept,dept_rank,overall_rank,cost_per_position
HMS220,RENTAL HOUSING SERVICES,HMS,Department of Human Services,Operating,N,2027,112088200.0,195.5,4.5,,,Human Services,,,Federal Funds,112.0882,False,0.51,2.35,4,35,573341.0
HMS220,RENTAL HOUSING SERVICES,HMS,Department of Human Services,Operating,W,2027,5187506.0,17.0,4.5,,,Human Services,,,Revolving Funds,5.187506,False,0.02,0.11,40,282,241279.0
HMS222,RENTAL ASSISTANCE SERVICES,HMS,Department of Human Services,Operating,N,2027,77039700.0,35.0,1.0,,,Human Services,,,Federal Funds,77.0397,False,0.35,1.61,7,45,2201134.0
HMS222,RENTAL ASSISTANCE SERVICES,HMS,Department of Human Services,Operating,A,2027,1557121.0,3.0,0.0,,,Human Services,,,General Funds,1.557121,False,0.01,0.03,50,426,1557121.0
HMS224,HOMELESS SERVICES,HMS,Department of Human Services,Operating,N,2027,814000.0,,0.0,,,Human Services,,,Federal Funds,0.814,False,0.0,0.02,56,482,74000.0
HMS224,HOMELESS SERVICES,HMS,Department of Human Services,Operating,A,2027,27931773.0,11.0,0.0,,,Human Services,,,General Funds,27.931773,False,0.13,0.58,17,104,2539252.0
HMS229,HAWAII PUBLIC HOUSING AUTHORITY ADMINISTRATION,HMS,Department of Human Services,Operating,W,2027,17676361.0,166.0,47.0,,,Human Services,,,Revolving Funds,17.676361,False,0.08,0.37,26,152,106484.0
HMS229,HAWAII PUBLIC HOUSING AUTHORITY ADMINISTRATION,HMS,Department of Human Services,Operating,N,2027,27840930.0,,3.0,,,Human Services,,,Federal Funds,27.84093,False,0.13,0.58,18,105,5568186.0
HMS229,HAWAII PUBLIC HOUSING AUTHORITY ADMINISTRATION,HMS,Department of Human Services,Operating,A,2027,502838.0,5.0,3.0,,,Human Services,,,General Funds,0.502838,False,0.0,0.01,58,508,100568.0
HMS236,CASE MANAGEMENT FOR SELF-SUFFICIENCY,HMS,Department of Human Services,Operating,A,2027,19673479.0,366.75,0.0,,,Human Services,,,General Funds,19.673479,False,0.09,0.41,22,141,68446.0
HMS236,CASE MANAGEMENT FOR SELF-SUFFICIENCY,HMS,Department of Human Services,Operating,N,2027,26393053.0,147.25,0.0,,,Human Services,,,Federal Funds,26.393053,False,0.12,0.55,20,111,116490.0
HMS236,CASE MANAGEMENT FOR SELF-SUFFICIENCY,HMS,Department of Human Services,Operating,P,2027,30237.0,,0.0,,,Human Services,,,Other Federal Funds,0.030237,False,0.0,0.0,63,577,133.0
HMS237,EMPLOYMENT AND TRAINING,HMS,Department of Human Services,Operating,N,2027,2575945.0,,,,,Human Services,,,Federal Funds,2.575945,False,0.01,0.05,48,378,
HMS237,EMPLOYMENT AND TRAINING,HMS,Department of Human Services,Operating,A,2027,469505.0,,,,,Human Services,,,General Funds,0.469505,False,0.0,0.01,59,511,
HMS238,DISABILITY DETERMINATION,HMS,Department of Human Services,Operating,N,2027,8859927.0,50.0,0.0,,,Human Services,,,Federal Funds,8.859927,False,0.04,0.19,34,216,177199.0
HMS301,CHILD PROTECTIVE SERVICES,HMS,Department of Human Services,Operating,N,2027,49452950.0,84.75,0.0,,,Human Services,,,Federal Funds,49.45295,False,0.22,1.04,11,64,583516.0
HMS301,CHILD PROTECTIVE SERVICES,HMS,Department of Human Services,Operating,P,2027,400000.0,,0.0,,,Human Services,,,Other Federal Funds,0.4,False,0.0,0.01,60,521,4720.0
HMS301,CHILD PROTECTIVE SERVICES,HMS,Department of Human Services,Operating,B,2027,6124053.0,1.0,0.0,,,Human Services,,,Special Funds,6.124053,False,0.03,0.13,39,263,6124053.0
HMS301,CHILD PROTECTIVE SERVICES,HMS,Department of Human Services,Operating,A,2027,50570717.0,303.75,0.0,,,Human Services,,,General Funds,50.570717,False,0.23,1.06,10,63,166488.0
HMS302,GENERAL SUPPORT FOR CHILD CARE,HMS,Department of Human Services,Operating,N,2027,14137770.0,38.08,0.0,,,Human Services,,,Federal Funds,14.13777,False,0.06,0.3,30,172,371265.0
HMS302,GENERAL SUPPORT FOR CHILD CARE,HMS,Department of Human Services,Operating,A,2027,2840528.0,38.92,0.0,,,Human Services,,,General Funds,2.840528,False,0.01,0.06,47,366,72984.0
HMS303,CHILD PROTECTIVE SERVICES PAYMENTS,HMS,Department of Human Services,Operating,N,2027,31542000.0,,,,,Human Services,,,Federal Funds,31.542,False,0.14,0.66,15,95,
HMS303,CHILD PROTECTIVE SERVICES PAYMENTS,HMS,Department of Human Services,Operating,A,2027,48265586.0,,,,,Human Services,,,General Funds,48.265586,False,0.22,1.01,13,68,
HMS305,CASH SUPPORT FOR CHILD CARE,HMS,Department of Human Services,Operating,N,2027,69565754.0,,,,,Human Services,,,Federal Funds,69.565754,False,0.31,1.46,8,49,
HMS305,CASH SUPPORT FOR CHILD CARE,HMS,Department of Human Services,Operating,A,2027,57811811.0,,,,,Human Services,,,General Funds,57.811811,False,0.26,1.21,9,56,
HMS401,HEALTH CARE PAYMENTS,HMS,Department of Human Services,Operating,P,2027,15798564.0,,,,,Human Services,,,Other Federal Funds,15.798564,False,0.07,0.33,28,165,
HMS401,HEALTH CARE PAYMENTS,HMS,Department of Human Services,Operating,U,2027,6781921.0,,,,,Human Services,,,Interdepartmental Transfers,6.781921,False,0.03,0.14,37,247,
HMS401,HEALTH CARE PAYMENTS,HMS,Department of Human Services,Operating,N,2027,2291497122.0,,,,,Human Services,,,Federal Funds,2291.497122,False,10.37,47.99,1,1,
HMS401,HEALTH CARE PAYMENTS,HMS,Department of Human Services,Operating,B,2027,230000000.0,,,,,Human Services,,,Special Funds,230.0,False,1.04,4.82,3,21,
HMS401,HEALTH CARE PAYMENTS,HMS,Department of Human Services,Operating,A,2027,1031466906.0,,,,,Human Services,,,General Funds,1031.466906,False,4.67,21.6,2,3,
HMS501,IN-COMMUNITY YOUTH PROGRAMS,HMS,Department of Human Services,Operating,A,2027,10800451.0,20.5,1.0,,,Human Services,,,General Funds,10.800451,False,0.05,0.23,32,195,553869.0
HMS501,IN-COMMUNITY YOUTH PROGRAMS,HMS,Department of Human Services,Operating,N,2027,1534135.0,1.0,0.5,,,Human Services,,,Federal Funds,1.534135,False,0.01,0.03,51,427,1534135.0
HMS503,HAWAII YOUTH CORRECTIONAL FACILITY (HYCF),HMS,Department of Human Services,Operating,A,2027,9992933.0,89.0,0.0,,,Human Services,,,General Funds,9.992933,False,0.05,0.21,33,203,111033.0
HMS555,OFFICE OF WELLNESS AND RESILIENCE,HMS,Department of Human Services,Operating,A,2027,1346000.0,12.0,0.0,,,Human Services,,,General Funds,1.346,False,0.01,0.03,52,435,112167.0
HMS601,ADULT PROTECTIVE AND COMMUNITY SERVICES,HMS,Department of Human Services,Operating,A,2027,6875326.0,69.48,0.0,,,Human Services,,,General Funds,6.875326,False,0.03,0.14,36,244,98954.0
HMS601,ADULT PROTECTIVE AND COMMUNITY SERVICES,HMS,Department of Human Services,Operating,N,2027,838010.0,10.02,3.0,,,Human Services,,,Federal Funds,0.83801,False,0.0,0.02,55,480,83634.0
HMS601,ADULT PROTECTIVE AND COMMUNITY SERVICES,HMS,Department of Human Services,Operating,R,2027,10000.0,,3.0,,,Human Services,,,Private Contributions,0.01,False,0.0,0.0,64,581,998.0
HMS601,ADULT PROTECTIVE AND COMMUNITY SERVICES,HMS,Department of Human Services,Operating,U,2027,387560.0,,3.0,,,Human Services,,,Interdepartmental Transfers,0.38756,False,0.0,0.01,61,523,38679.0
HMS601,ADULT PROTECTIVE AND COMMUNITY SERVICES,HMS,Department of Human Services,Operating,P,2027,1321390.0,,3.0,,,Human Services,,,Other Federal Funds,1.32139,False,0.01,0.03,53,438,131875.0
HMS605,COMMUNITY-BASED RESIDENTIAL & MEDICAID FACILITY SUPPORT,HMS,Department of Human Services,Operating,A,2027,17810955.0,,,,,Human Services,,,General Funds,17.810955,False,0.08,0.37,25,151,
HMS777,OFFICE ON HOMELESSNESS AND HOUSING SOLUTIONS,HMS,Department of Human Services,Capital Improvement,C,2027,13000000.0,,0.0,,,Human Services,,,General Obligation Bond Fund,13.0,True,0.06,0.27,31,180,1625000.0
HMS777,OFFICE ON HOMELESSNESS AND HOUSING SOLUTIONS,HMS,Department of Human Services,Operating,A,2027,611040.0,8.0,0.0,,,Human Services,,,General Funds,0.61104,False,0.0,0.01,57,499,76380.0
HMS802,VOCATIONAL REHABILITATION,HMS,Department of Human Services,Operating,W,2027,2000000.0,,2.0,,,Employment,,,Revolving Funds,2.0,False,0.01,0.04,49,409,26571.0
HMS802,VOCATIONAL REHABILITATION,HMS,Department of Human Services,Operating,A,2027,6138995.0,40.73,2.0,,,Employment,,,General Funds,6.138995,False,0.03,0.13,38,262,150724.0
HMS802,VOCATIONAL REHABILITATION,HMS,Department of Human Services,Operating,N,2027,19176876.0,73.27,2.0,,,Employment,,,Federal Funds,19.176876,False,0.09,0.4,24,145,254774.0
HMS888,COMMISSION ON THE STATUS OF WOMEN,HMS,Department of Human Services,Operating,A,2027,184462.0,2.0,1.0,,,Individual Rights,,,General Funds,0.184462,False,0.0,0.0,62,549,92231.0
HMS901,GENERAL SUPPORT FOR SOCIAL SERVICES,HMS,Department of Human Services,Operating,A,2027,3487230.0,33.5,0.0,,,Human Services,,,General Funds,3.48723,False,0.02,0.07,44,344,104096.0
HMS901,GENERAL SUPPORT FOR SOCIAL SERVICES,HMS,Department of Human Services,Operating,N,2027,3246986.0,9.5,0.0,,,Human Services,,,Federal Funds,3.246986,False,0.01,0.07,45,352,341788.0
HMS902,GENERAL SUPPORT FOR HEALTH CARE PAYMENTS,HMS,Department of Human Services,Operating,N,2027,96345000.0,162.13,16.5,,,Human Services,,,Federal Funds,96.345,False,0.44,2.02,5,39,594245.0
HMS902,GENERAL SUPPORT FOR HEALTH CARE PAYMENTS,HMS,Department of Human Services,Operating,B,2027,30104367.0,0.87,4.5,,,Human Services,,,Special Funds,30.104367,False,0.14,0.63,16,97,5606027.0
HMS902,GENERAL SUPPORT FOR HEALTH CARE PAYMENTS,HMS,Department of Human Services,Operating,A,2027,16133771.0,141.5,4.5,,,Human Services,,,General Funds,16.133771,False,0.07,0.34,27,161,114020.0
HMS902,GENERAL SUPPORT FOR HEALTH CARE PAYMENTS,HMS,Department of Human Services,Operating,P,2027,1200000.0,,16.5,,,Human Services,,,Other Federal Funds,1.2,False,0.01,0.03,54,445,7401.0
HMS903,GENERAL SUPPORT FOR SELF-SUFFICIENCY SERVICES,HMS,Department of Human Services,Operating,A,2027,48604950.0,68.25,0.0,,,Human Services,,,General Funds,48.60495,False,0.22,1.02,12,66,947465.0
HMS903,GENERAL SUPPORT FOR SELF-SUFFICIENCY SERVICES,HMS,Department of Human Services,Operating,N,2027,95418155.0,29.75,0.0,,,Human Services,,,Federal Funds,95.418155,False,0.43,2.0,6,40,2043215.0
HMS903,GENERAL SUPPORT FOR SELF-SUFFICIENCY SERVICES,HMS,Department of Human Services,Operating,P,2027,19560000.0,,0.0,,,Human Services,,,Other Federal Funds,19.56,False,0.09,0.41,23,143,418844.0
HMS904,GENERAL ADMINISTRATION - DHS,HMS,Department of Human Services,Operating,A,2027,14292045.0,161.85,5.0,,,Human Services,,,General Funds,14.292045,False,0.06,0.3,29,171,91270.0
HMS904,GENERAL ADMINISTRATION - DHS,HMS,Department of Human Services,Operating,N,2027,4788768.0,26.15,5.0,,,Human Services,,,Federal Funds,4.788768,False,0.02,0.1,41,300,131523.0
HRD102,"WORKFORCE ATTRACTION, SELECTION, CLASSIFICATION, AND EFFECTIVENESS",HRD,Department of Human Resources Development,Operating,A,2027,27649629.0,89.0,0.0,,,Government Operations,,,General Funds,27.649629,False,0.13,76.21,1,106,310670.0
HRD102,"WORKFORCE ATTRACTION, SELECTION, CLASSIFICATION, AND EFFECTIVENESS",HRD,Department of Human Resources Development,Operating,B,2027,700000.0,,0.0,,,Government Operations,,,Special Funds,0.7,False,0.0,1.93,4,495,7865.0
HRD102,"WORKFORCE ATTRACTION, SELECTION, CLASSIFICATION, AND EFFECTIVENESS",HRD,Department of Human Resources Development,Operating,U,2027,5178161.0,2.0,0.0,,,Government Operations,,,Interdepartmental Transfers,5.178161,False,0.02,14.27,2,283,2589080.0
HRD191,SUPPORTING SERVICES – HUMAN RESOURCES DEVELOPMENT,HRD,Department of Human Resources Development,Operating,A,2027,2750816.0,12.0,0.0,,,Government Operations,,,General Funds,2.750816,False,0.01,7.58,3,369,229235.0
HTH100,COMMUNICABLE DISEASE AND PUBLIC HEALTH NURSING,HTH,Department of Health,Operating,A,2027,33067876.0,237.87,1.0,,,Health,,,General Funds,33.067876,False,0.15,1.41,16,91,139017.0
HTH100,COMMUNICABLE DISEASE AND PUBLIC HEALTH NURSING,HTH,Department of Health,Operating,N,2027,8827137.0,22.0,22.0,,,Health,,,Federal Funds,8.827137,False,0.04,0.38,34,217,34099.0
HTH100,COMMUNICABLE DISEASE AND PUBLIC HEALTH NURSING,HTH,Department of Health,Operating,U,2027,637849.0,3.0,22.0,,,Health,,,Interdepartmental Transfers,0.637849,False,0.0,0.03,74,497,25514.0
HTH100,COMMUNICABLE DISEASE AND PUBLIC HEALTH NURSING,HTH,Department of Health,Operating,P,2027,5311894.0,34.5,23.5,,,Health,,,Other Federal Funds,5.311894,False,0.02,0.23,43,276,153968.0
HTH131,DISEASE OUTBREAK CONTROL,HTH,Department of Health,Operating,P,2027,9378970.0,22.5,21.5,,,Health,,,Other Federal Funds,9.37897,False,0.04,0.4,30,208,416843.0
HTH131,DISEASE OUTBREAK CONTROL,HTH,Department of Health,Operating,N,2027,3705177.0,29.4,9.0,,,Health,,,Federal Funds,3.705177,False,0.02,0.16,52,335,126026.0
HTH131,DISEASE OUTBREAK CONTROL,HTH,Department of Health,Operating,A,2027,2604086.0,26.6,0.0,,,Health,,,General Funds,2.604086,False,0.01,0.11,57,374,97898.0
HTH210,HAWAII HEALTH SYSTEMS CORPORATION – CORPORATE OFFICE,HTH,Department of Health,Operating,B,2027,17509280.0,54.5,0.0,,,Health,,,Special Funds,17.50928,False,0.08,0.74,22,154,321271.0
HTH211,KAHUKU HOSPITAL,HTH,Department of Health,Operating,A,2027,2032500.0,,,,,Health,,,General Funds,2.0325,False,0.01,0.09,65,406,
HTH211,KAHUKU HOSPITAL,HTH,Department of Health,Capital Improvement,C,2027,5000000.0,,,,,Health,,,General Obligation Bond Fund,5.0,True,0.02,0.21,46,289,
HTH212,HAWAII HEALTH SYSTEMS CORPORATION –  REGIONS,HTH,Department of Health,Operating,B,2027,582286185.0,2337.85,0.0,,,Health,,,Special Funds,582.286185,False,2.64,24.77,1,7,249069.0
HTH212,HAWAII HEALTH SYSTEMS CORPORATION –  REGIONS,HTH,Department of Health,Capital Improvement,R,2027,25000000.0,,0.0,,,Health,,Investment Capital - blank FY1 column,Private Contributions,25.0,True,0.11,1.06,18,118,10694.0
HTH212,HAWAII HEALTH SYSTEMS CORPORATION –  REGIONS,HTH,Department of Health,Capital Improvement,C,2027,53709000.0,,0.0,,,Health,,,General Obligation Bond Fund,53.709,True,0.24,2.28,11,59,22974.0
HTH212,HAWAII HEALTH SYSTEMS CORPORATION –  REGIONS,HTH,Department of Health,Operating,A,2027,199816303.0,,,,,Health,,,General Funds,199.816303,False,0.9,8.5,3,24,
HTH213,ALII COMMUNITY CARE,HTH,Department of Health,Operating,B,2027,3500000.0,,,,,Health,,,Special Funds,3.5,False,0.02,0.15,53,343,
