county,department_code,department_name,section,fund_name,fund_category,fiscal_year,amount,program_name,positions,source
honolulu,dpr,Parks and Recreation,Operating,General Fund,General Fund,2027,18458188.0,Maintenance Support Services,,data.honolulu.gov/puaw-t6sa
honolulu,dcs,Community Services,Operating,Federal Grants Fund,Federal Funds,2027,9201791.0,WorkHawaii,,data.honolulu.gov/puaw-t6sa
honolulu,bfs,Budget and Fiscal Services,Operating,Housing & Comm Dev Sec 8 Fund,Special / Enterprise Funds,2027,217400.0,Accounting and Fiscal Services,,data.honolulu.gov/puaw-t6sa
honolulu,mayor,Mayor,Operating,General Fund,General Fund,2027,40000.0,Contingency Fund,,data.honolulu.gov/puaw-t6sa
honolulu,ddc,Design and Construction,Operating,General Fund,General Fund,2027,3511808.0,Land Services,,data.honolulu.gov/puaw-t6sa
honolulu,dem,Emergency Management,Operating,General Fund,General Fund,2027,2143328.0,Emergency Management Coordination,,data.honolulu.gov/puaw-t6sa
honolulu,hpd,Police,Operating,General Fund,General Fund,2027,64347583.0,Support Services,,data.honolulu.gov/puaw-t6sa
honolulu,des,Enterprise Services,Operating,Honolulu Zoo Fund,Special / Enterprise Funds,2027,9283756.0,Honolulu Zoo,,data.honolulu.gov/puaw-t6sa
honolulu,des,Enterprise Services,Operating,Special Events Fund,Special / Enterprise Funds,2027,8552648.0,Auditoriums,,data.honolulu.gov/puaw-t6sa
honolulu,dfm,Facility Maintenance,Operating,Highway Fund,Special / Enterprise Funds,2027,1713805.0,Automotive Equipment Services,,data.honolulu.gov/puaw-t6sa
honolulu,dfm,Facility Maintenance,Operating,Recycling Account - SWSF,Trust & Other Funds,2027,2186485.0,Automotive Equipment Services,,data.honolulu.gov/puaw-t6sa
honolulu,dfm,Facility Maintenance,Operating,Refuse Genl Operating Acct -SWSF,Special / Enterprise Funds,2027,2186485.0,Automotive Equipment Services,,data.honolulu.gov/puaw-t6sa
honolulu,mayor,Mayor,Operating,General Fund,General Fund,2027,1043903.0,Administration,,data.honolulu.gov/puaw-t6sa
honolulu,md,Managing Director,Operating,General Fund,General Fund,2027,2630044.0,City Management,,data.honolulu.gov/puaw-t6sa
honolulu,ddc,Design and Construction,Operating,General Fund,General Fund,2027,2653011.0,Administration,,data.honolulu.gov/puaw-t6sa
honolulu,pat,Prosecuting Attorney,Operating,General Fund,General Fund,2027,19038284.0,Prosecution,,data.honolulu.gov/puaw-t6sa
honolulu,hpd,Police,Operating,General Fund,General Fund,2027,43646480.0,Administrative Services,,data.honolulu.gov/puaw-t6sa
honolulu,pat,Prosecuting Attorney,Operating,Special Projects Fund,Special / Enterprise Funds,2027,1308814.0,Prosecution,,data.honolulu.gov/puaw-t6sa
